entity,entity_type,song_id,song_title,artist
Naww,PERSON,1188658,I Ain't That Nigga,2pac
jack Vo Vo,PERSON,1188658,I Ain't That Nigga,2pac
Deville,PERSON,139459,In Yo Cadillac (Remix),2pac
Brougham The Vogue,LOCATION,139459,In Yo Cadillac (Remix),2pac
Kells,PERSON,143735,Throwin My Money,2pac
Jimmy Choo,PERSON,143735,Throwin My Money,2pac
Franklin,PERSON,143735,Throwin My Money,2pac
Norman Bates,PERSON,2035377,Animosity Kills,2pac
Gina,PERSON,212716,Drink,2pac
West Side Mobster,LOCATION,2400237,No Heart,2pac
Motherfuckas,PERSON,2400237,No Heart,2pac
Randy Moss,PERSON,2400237,No Heart,2pac
Pharrell Pharrell,PERSON,2400237,No Heart,2pac
Shyne,PERSON,2400237,No Heart,2pac
Asanti,PERSON,2442055,Walking On Ice,2pac
Louie,PERSON,290198,Beast,2pac
Wayne,PERSON,290198,Beast,2pac
Higgs Boson,PERSON,290198,Beast,2pac
Twista,ORGANIZATION,296503,Ferocious,2pac
Windy City,LOCATION,296503,Ferocious,2pac
Kobe Wan Kenobi Left,PERSON,296503,Ferocious,2pac
Tung Twista,PERSON,3429,Runnin' Off At The Mouth,2pac
Tung Twista ] Yo,PERSON,3429,Runnin' Off At The Mouth,2pac
Tung Twista,PERSON,3429,Runnin' Off At The Mouth,2pac
Tung Twista,PERSON,3429,Runnin' Off At The Mouth,2pac
Micheal Phelps,PERSON,366827,Fire,2pac
Buick,ORGANIZATION,414060,It's Yours,2pac
Chi - Town Bay A - T - L M,ORGANIZATION,46500,The Come Up,2pac
Midwest,LOCATION,46502,Ain't No Hoes,2pac
Chi - Town,ORGANIZATION,46502,Ain't No Hoes,2pac
Chi - Town,ORGANIZATION,46502,Ain't No Hoes,2pac
Chi - Town,ORGANIZATION,46502,Ain't No Hoes,2pac
Chi - Town,ORGANIZATION,46502,Ain't No Hoes,2pac
Thinkin,PERSON,46505,Give it Up,2pac
Thinkin,PERSON,46505,Give it Up,2pac
Don,PERSON,46508,Whip Game Proper,2pac
Bentley,PERSON,46508,Whip Game Proper,2pac
Yosemity Sam,PERSON,46508,Whip Game Proper,2pac
Young Carter,PERSON,46508,Whip Game Proper,2pac
PETA,ORGANIZATION,46508,Whip Game Proper,2pac
Gacy,PERSON,46511,Adrenaline Rush,2pac
Chicago,LOCATION,46513,Mobster's Anthem,2pac
Mayz,PERSON,46513,Mobster's Anthem,2pac
