Artist,Producer,weight
112,Daron Jones,4
112,Father Shaheed,1
112,"Antoine ""Bam"" Macon",1
112,Ryan Bowser,1
112,Tim,1
112,B.o.B,1
112,Arnold Hennings,1
112,Stevie J,4
112,Puff Daddy,5
112,Leslie Brathwaite,1
112,Bob Robinson,1
112,Tim Kelley,1
112,Wanya Morris,1
112,Kevin Wales,2
112,Mario Winans,1
112,Jermaine Dupri,1
112,Focus...,1
112,Sean Garrett,1
112,"Darrell ""Delite"" Allamby",1
Jermaine Dupri,Coptic,1
Jermaine Dupri,"Deric ""D-Dot"" Angelettie",2
Jermaine Dupri,Jahlil Beats,1
Jermaine Dupri,Slick Rick,1
Jermaine Dupri,Carl So-Lowe,3
Jermaine Dupri,Bryan-Michael Cox,1
Jermaine Dupri,Charlemagne,1
Jermaine Dupri,Kanye West,1
Jermaine Dupri,DJ Premier,1
Jermaine Dupri,Mariah Carey,1
Jermaine Dupri,DJ Quik,1
Jermaine Dupri,Estlove,1
Jermaine Dupri,Bono,1
21 Savage,Sonny Digital,7
21 Savage,Zaytoven,10
21 Savage,Dolan,2
21 Savage,Metro Boomin,5
21 Savage,KD Beatz,1
21 Savage,Fukk 12,9
21 Savage,TM88,2
21 Savage,Young God,1
21 Savage,Will-A-Fool,1
21 Savage,Fresh Jones,1
21 Savage,Mercy,1
21 Savage,Wheezy,1
21 Savage,DP Beats,1
21 Savage,Joan Mael Péneau,1
21 Savage,Brodinski,1
21 Savage,TrapMoneyBenny,1
21 Savage,DJ Plugg,1
21 Savage,Ricky Racks,1
21 Savage,JetsonMade,1
21 Savage,808 Mafia,1
21 Savage,Chophouze,1
21 Savage,Southside,1
21 Savage,Spiffy,1
2 Chainz,Bobby Kritical,2
2 Chainz,Sonny Digital,2
2 Chainz,Dun Deal,1
2 Chainz,C4,1
2 Chainz,Tommy Brown,1
2 Chainz,Drumma Boy,9
2 Chainz,Murda,2
2 Chainz,FKi,5
2 Chainz,Young Chop,1
2 Chainz,Cardo,1
2 Chainz,Da Honorable C.N.O.T.E.,8
2 Chainz,Frank Dukes,1
2 Chainz,Metro Boomin,3
2 Chainz,Black Jab,1
2 Chainz,Zaytoven,8
2 Chainz,Buddah Bless,2
2 Chainz,TM88,3
2 Chainz,DJ Toomp,1
2 Chainz,DJ Spinz,8
2 Chainz,Mr. 2-17,3
2 Chainz,Nard & B,2
2 Chainz,T,1
2 Chainz,Infamous,1
2 Chainz,DJ Squeeky,2
2 Chainz,London On Da Track,3
2 Chainz,K. Swisha,2
2 Chainz,AC Burrell,1
2 Chainz,"G'harah ""PK"" Degeddingseze",1
2 Chainz,Mondo,1
2 Chainz,Southernfolk,1
2 Chainz,Southside,3
2 Chainz,Mike Dean,5
2 Chainz,Supah Mario,1
2 Chainz,TWhy,2
2 Chainz,DJ Paul,2
2 Chainz,Bangladesh,1
2 Chainz,J Gramm Beats,1
2 Chainz,Diplo,2
2 Chainz,Wonder Arillo,3
2 Chainz,The-Dream,1
2 Chainz,Pharrell Williams,2
2 Chainz,DJ Jaycee,1
2 Chainz,P-Nasty,1
2 Chainz,Mike WiLL Made-It,15
2 Chainz,Lex Luger,5
2 Chainz,808 Mafia,3
2 Chainz,Big Jay,1
2 Chainz,"Carlos ""6 July"" Broady",1
2 Chainz,BWheezy,2
2 Chainz,Jeff Bhasker,1
2 Chainz,Travis Scott,1
2 Chainz,!llmind,1
2 Chainz,Kanye West,2
2 Chainz,Mannie Fresh,3
2 Chainz,Izze The Producer,1
2 Chainz,Wonder,1
2 Chainz,CHRONICLE,1
2 Chainz,D. Rich,1
2 Chainz,DJ Don Cannon,1
2 Chainz,Yung Berg,1
2 Chainz,Arch The Boss,1
2 Chainz,Fresh Jones,1
2 Chainz,Mayowa,1
2 Chainz,Marvel Hitz,1
2 Chainz,YoungStarr Beatz,1
2 Chainz,Mike Free,1
2 Chainz,DJ Mustard,2
2 Chainz,Lil Ronnie,1
2 Chainz,Mike Posner,1
2 Chainz,G Koop,1
2 Chainz,Chophouze,2
2 Chainz,KB (Producer),1
2 Chainz,Josh Holiday,1
2 Chainz,LA Leakers,1
2 Chainz,M16,3
