Artist,Producer,weight
Ludacris,Bangladesh,13
Ludacris,Metro Boomin,3
Ludacris,Keith Mack,1
Ludacris,Jazze Pha,2
Ludacris,Wonder,1
Ludacris,1500 or Nothin',1
Ludacris,Ron Browz,2
Ludacris,Organized Noize,4
Ludacris,The Runners,3
Ludacris,Alex Da Kid,1
Ludacris,Kamau Georges,1
Ludacris,Clinton Sparks,1
Ludacris,Syk Sense,1
Ludacris,"Kevin ""Khao"" Cates",2
Ludacris,!llmind,2
Ludacris,DKallday,1
Ludacris,Jook,2
Ludacris,Mike WiLL Made-It,2
Ludacris,DJ Toomp,4
Ludacris,Scott Storch,1
Ludacris,Swizz Beatz,4
Ludacris,DJ Paul,2
Ludacris,Juicy J,2
Ludacris,Drumma Boy,1
Ludacris,9th Wonder,1
Ludacris,Trak Starz,2
Ludacris,Happy Perez,1
Ludacris,DJ Montay,1
Ludacris,DJ Don Cannon,2
Ludacris,Eminem,1
Ludacris,Mr. Porter,1
Ludacris,DJ Khaled,1
Ludacris,Trackmasters,2
Ludacris,The Neptunes,8
Ludacris,Gaggie,1
Ludacris,Mr. Jonz,1
Ludacris,The Medicine Men,1
Ludacris,Lil Ronnie,1
Ludacris,Da Internz,5
Ludacris,Jermaine Dupri,1
Ludacris,L.V.M.,4
Ludacris,DJ Nasty,4
Ludacris,P. King,1
Ludacris,DJ Mustard,1
Ludacris,DJ Green Lantern,2
Ludacris,Erick Sermon,1
Ludacris,Mo B. Dick,2
Ludacris,Heazy,1
Ludacris,T-Minus,3
Ludacris,FATBOI,2
Ludacris,Tony Dinero,1
Ludacris,B Crucial,1
Ludacris,Wyldfyer,2
Ludacris,Infinity,1
Ludacris,Steven Q-Beatz,1
Ludacris,Bigg D,1
Ludacris,Icedrake,3
Ludacris,Xcel,1
Ludacris,Tone Mason,1
Ludacris,Timbaland,4
Ludacris,Vudu,2
Ludacris,Three 6 Mafia,1
Ludacris,David Banner,1
Ludacris,Frank Dukes,1
Ludacris,Remo the Hitmaker,1
Ludacris,DJ Pain,1
Ludacris,KLC,1
Ludacris,D.R.U.G.S,1
Ludacris,DJ Premier,1
Ludacris,The Legendary Traxster,2
Ludacris,Mel&Mus,1
Ludacris,J.U.S.T.I.C.E. League,1
Ludacris,Kyle Justice,1
Ludacris,Salaam Remi,1
Ludacris,Ne-Yo,1
Ludacris,Cashmere Cat,1
Ludacris,Needlz,1
