Artist,Producer,weight
Bo Deal,Lex Luger,1
Bo Deal,Southside,1
Bo Deal,JudoBeatz,1
Bo Deal,Yung Kade,1
Queen Key,D. Rich,1
Queen Key,Leekeleek,1
Queen Key,London On Da Track,1
Queen Key,Sonny Digital,1
Queen Key,Sci Fi,1
Queen Key,Buck Nasty,1
Queen Key,Southside,1
Queen Key,Roy Thomas Baker,1
Queen Key,Queen,1
Queen Key,HearonTrackz,1
Queen Key,DJ Mustard,1
Queen Key,NY Bangers,1
Queen Key,Mike WiLL Made-It,2
Queen Key,D.A. Doman,1
Queen Key,Mexikodro,1
Queen Key,Polo Boy Shawty,1
Canon,Joyful Noise,1
Canon,Dirty Rice,3
Canon,MPax,1
Canon,GROC,3
Canon,Ray Rock,1
Canon,Yung N Fly,1
Canon,Wit,3
Canon,Shades (Producer),2
Canon,Derek Minor,2
Canon,Kurt Denmark,4
Canon,Supe,1
Canon,Joseph Prielozny,1
Canon,Cardec Drums,1
Canon,Kenneth Aldredge,1
Canon,Swade,1
Canon,Thurston Lopes,1
Canon,Eighty7,1
Canon,Heat Academy,1
Canon,Street Symphony,1
Chali 2na,DJ Nu-Mark,1
Chali 2na,Stephen Marley,1
Chali 2na,DJ Babu,1
Chali 2na,Jake One,1
Chali 2na,AmpLive,1
Chali 2na,Nick Fury,1
Chief Keef,DP Beats,52
Chief Keef,Rozey,4
Chief Keef,DolanBeats,16
Chief Keef,DJKenn,21
Chief Keef,Zaytoven,43
Chief Keef,Dee.Money,3
Chief Keef,Chapo,1
Chief Keef,Young Chop,57
Chief Keef,ProtegeBeatz,6
Chief Keef,GGP,15
Chief Keef,Sonny Digital,9
Chief Keef,Domeno,1
Chief Keef,ABE Beats,4
Chief Keef,12 Hunna,15
Chief Keef,Brandon Howard,1
Chief Keef,Alki David,1
Chief Keef,Ace Bankz,7
Chief Keef,Money Beatz,2
Chief Keef,Prince Chrishan,2
Chief Keef,Cy Fire,1
Chief Keef,CMS,1
Chief Keef,12 Million,20
Chief Keef,Leekeleek,5
Chief Keef,Yung Lan,1
Chief Keef,Emazin,1
Chief Keef,Frencizzle,6
Chief Keef,CeeLo Green,2
Chief Keef,Bass Kids,4
Chief Keef,Jayrox,1
Chief Keef,ISO Beats,8
Chief Keef,FATBOI,2
Chief Keef,Jay Cornell,1
Chief Keef,Deggzy Beatz,1
Chief Keef,Trauma Tone,1
Chief Keef,JosueOnTheBeat,2
Chief Keef,CashMoneyAP,2
Chief Keef,ChopsquadDJ,24
Chief Keef,Young Malcolm,1
Chief Keef,Loud Tracks,1
Chief Keef,Persian Beats,2
Chief Keef,Metro Boomin,9
Chief Keef,RcG Sosa,1
Chief Keef,Ralph's One,1
Chief Keef,YBonDaBeat,1
Chief Keef,Tarentino,4
Chief Keef,DJ Holiday,1
Chief Keef,Trae Dash,1
Chief Keef,Yungbrezzy,1
Chief Keef,Young Ravisu,1
Chief Keef,808 Mafia,7
Chief Keef,Izze The Producer,2
Chief Keef,Chris Cheney,4
Chief Keef,Lex Luger,7
Chief Keef,Hamsquad,1
Chief Keef,Jit The Beast,1
Chief Keef,DJ Kenn Aon,4
Chief Keef,Mike WiLL Made-It,6
Chief Keef,Deezy,2
Chief Keef,Wheezy,1
Chief Keef,Lil Keis,1
Chief Keef,DPGGP,8
Chief Keef,Dirty Vans,4
Chief Keef,CBMIX,3
Chief Keef,OJ da Juiceman,1
Chief Keef,YearBeatz,4
Chief Keef,Nito Beats,2
Chief Keef,Da Internz,2
Chief Keef,Mike,1
Chief Keef,BasedCobb,1
Chief Keef,PhatBoyBeatz,1
Chief Keef,J Diesel,1
Chief Keef,Yung Ced,1
Chief Keef,Bezz Luciano,3
Chief Keef,TrueMadeThis,1
Chief Keef,Will-A-Fool,3
Chief Keef,KE on the Track,5
Chief Keef,Young Sav,1
Chief Keef,Shawty Redd,2
Chief Keef,Deemoneync,1
Chief Keef,Swag B,1
Chief Keef,ZoBeatz,1
Chief Keef,ShameOnTheTrack,1
Chief Keef,YGOnDaBeat,10
Chief Keef,@OTWGBeats,1
Chief Keef,Brain,3
Chief Keef,Smylez,1
Chief Keef,Illa,1
Chief Keef,Intelonthebeat,3
Chief Keef,ItsDomeno,2
Chief Keef,LkOnTheBeat,2
Chief Keef,WichoBeatz,2
Chief Keef,Kenn Aon,2
Chief Keef,Denis37,1
Chief Keef,Nard & B,4
Chief Keef,Oh!Zone,3
Chief Keef,Wolves,1
Chief Keef,K-Rab,1
Chief Keef,YoungHitmakers,1
Chief Keef,TM88,1
Chief Keef,D.Reed Beats,1
Chief Keef,D. Rich,4
Chief Keef,Murda,1
Chief Keef,Trapblancobeatz,1
Chief Keef,Kongo Beats,1
Chief Keef,ZtheSavage,1
Chief Keef,Vince carter,1
Chief Keef,MoneyCobb,1
Chief Keef,Lo Key,2
Chief Keef,ISM Beats,1
Chief Keef,The Beatmasters,1
Chief Keef,C4,1
Chief Keef,Lanx Stayham,1
Chief Keef,Luke Kelly,1
Chief Keef,Chris Surreal,2
Chief Keef,TomTom,1
Chief Keef,@eljefecerebro,1
Chief Keef,Kanye West,1
Chief Keef,Cassius Jay,1
Chief Keef,Rico Houdini,1
Chief Keef,Big K,1
Chief Keef,Southside,1
Chief Keef,Capstaylo,1
Chief Keef,BillsProductions,1
Chief Keef,OTWG,1
Chief Keef,OhZoneBeats,1
Chief Keef,Codeine Boy,1
Chief Keef,Hollywood J,1
Chief Keef,Purps,1
Chief Keef,Malikondabeat,1
Chief Keef,Hurtboy AG,1
Chief Keef,Joseph DaVinci,1
Chief Keef,QuaBeats,1
Chief Keef,Taste,1
Chief Keef,Eskay,1
Chief Keef,J Gramm Beats,1
Chief Keef,DJ Drama,1
Chief Keef,Kenny Blanco,1
Chief Keef,Glo Gang Productions,1
Chief Keef,Johhny Juliano,1
Chief Keef,Kodyak Beats,1
Chief Keef,T-Mix,1
Chief Keef,Slam,1
Chief Keef,Stuntman,1
Chief Keef,DJ Ken Aon,1
Chief Keef,Chysty,1
Chief Keef,Yung Cryptonite,1
Chief Keef,PopsOnDaBeat,1
Chief Keef,Prod.by Young Chop,1
Chief Keef,DJ Spinz,1
Chief Keef,Casa Di,1
Chief Keef,KcDaBeatMonster,1
Chief Keef,Luca Vialli,1
Chief Keef,Fuse 100 of 808 Mafia,1
Chief Keef,Iceman Chamberlain,1
Chief Keef,Dashius Clay,1
Chief Keef,@twincityceo,1
Chief Keef,Pete Stylez,1
