Artist,Producer,weight
The Roots,Grand Wizzards,20
The Roots,Kamal Gray,4
The Roots,Rahzel,2
The Roots,Questlove,56
The Roots,James Poyser,6
The Roots,Scott Storch,9
The Roots,Angry,4
The Roots,Randy Watson Experience,3
The Roots,John McGlinchey,1
The Roots,Radji Mateen,2
The Roots,Khari Mateen,11
The Roots,Richard Nichols,27
The Roots,Dice Raw,6
The Roots,Black Thought,13
The Roots,"Mel ""Chaos"" Lewis",2
The Roots,J Dilla,2
The Roots,Brook D'Leau,2
The Roots,Kelo,9
The Roots,Bob Emmer,1
The Roots,Nesuhi Ertegun,1
The Roots,"Lamar ""Mars"" Edwards",3
The Roots,A.J. Shine,10
The Roots,Grand Negaz,18
The Roots,Pedro Martinez,4
The Roots,Ray Angry,6
The Roots,Tahir,5
The Roots,Chaos,5
The Roots,Ritz Reynolds,2
The Roots,Frank Knuckles,2
The Roots,Anthony Tidd,2
The Roots,Owen Biddle,3
The Roots,Jeremy Grenhart,4
The Roots,Rick Friedrich,3
The Roots,Diplo,1
The Roots,Kevin Hanson,3
The Roots,The Ummah,1
The Roots,Darryl Robinson,1
The Roots,Mike Elizondo,1
The Roots,Trapzillas,1
The Roots,Mike Jerz,1
The Roots,Da Beatminerz,1
The Roots,Zukhan,2
The Roots,Karriem Riggins,1
The Roots,Sufjan Stevens,1
The Roots,Alectrick.Korn,1
The Roots,DJ Scratch,1
The Roots,Kamiah Gray,1
The Roots,Hot Sugar,1
The Roots,L.V.,1
The Roots,Sean C,1
The Roots,Adam Blackstone,1
The Roots,BT,1
The Roots,Joseph Simmons,1
The Roots,DD Jackson,2
The Roots,Damion Ward,2
The Roots,Slimkid3,1
The Roots,"John ""L.A. Jay"" Barnes",1
The Roots,Cody Chesnutt,1
The Roots,The Wurxs,1
The Roots,Robert Dorsey,1
The Roots,Raphael Saadiq,1
The Roots,Mike Lowe,1
The Roots,!llmind,1
Eve,Swizz Beatz,26
Eve,Jon jon,2
Eve,Claude Kelly,1
Eve,Staxx,1
Eve,DJ Shok,5
Eve,Icepick Jay,2
Eve,R8D!O,1
Eve,Mel-Man,1
Eve,Teflon,4
Eve,Trackmasters,1
Eve,Frank Nitty,1
Eve,Rico Love,1
Eve,Salaam Remi,1
Eve,7 Aurelius,1
Eve,Irv Gotti,1
Eve,Felix Snow,1
Eve,Hotrunner,2
Eve,Sander Van Der Waal,2
Eve,Surge,2
Eve,Scott Storch,1
Eve,Dr. Dre,4
Eve,Stevie J,2
Eve,P Killer Trackz,3
Eve,Jukebox,3
Eve,Da Neckbones,1
Eve,Amon Flanagon,1
Eve,Shoddy AKA Shottie,1
Eve,Stephen Marley,1
Eve,Bink!,1
Eve,Mike Elizondo,1
Eve,"Elvis ""BlackElvis"" Williams",1
Eve,Dame Grease,1
DJ Jazzy Jeff & The Fresh Prince,Mr. Lee,1
DJ Jazzy Jeff & The Fresh Prince,DJ Jazzy Jeff,6
DJ Jazzy Jeff & The Fresh Prince,Jeff Townes,2
DJ Jazzy Jeff & The Fresh Prince,Teddy Riley,1
DJ Jazzy Jeff & The Fresh Prince,Hula & K Fingers,1
Ludacris,Bangladesh,13
Ludacris,Metro Boomin,3
Ludacris,Keith Mack,1
Ludacris,Jazze Pha,2
Ludacris,Wonder,1
Ludacris,1500 or Nothin',1
Ludacris,Ron Browz,2
Ludacris,Organized Noize,4
Ludacris,The Runners,3
Ludacris,Alex Da Kid,1
Ludacris,Kamau Georges,1
Ludacris,Clinton Sparks,1
Ludacris,Syk Sense,1
Ludacris,"Kevin ""Khao"" Cates",2
Ludacris,!llmind,2
Ludacris,DKallday,1
Ludacris,Jook,2
Ludacris,Mike WiLL Made-It,2
Ludacris,DJ Toomp,4
Ludacris,Scott Storch,1
Ludacris,Swizz Beatz,4
Ludacris,DJ Paul,2
