ID,Title,Artist,URL,Producers,Featured Artists,Samples
2310351,!!!!!!!,The Roots,https://genius.com/The-roots--lyrics,Grand Wizzards,,
40408,100% Dundee,The Roots,https://genius.com/The-roots-100-dundee-lyrics,"Kamal Gray,Rahzel","Black Thought,Dice Raw,Malik B",
40482,@15,The Roots,https://genius.com/The-roots-15-lyrics,,,
2924866,#1 No John Trumbull (Intro) (dupl),The Roots,https://genius.com/The-roots-1-no-john-trumbull-intro-dupl-lyrics,,,
3671,75 Bars (Black's Reconstruction),The Roots,https://genius.com/The-roots-75-bars-blacks-reconstruction-lyrics,Questlove,,
40401,Act Fore... The End?,The Roots,https://genius.com/The-roots-act-fore-the-end-lyrics,,,
1522740,Act Too (Love Of My Life),The Roots,https://genius.com/The-roots-act-too-love-of-my-life-lyrics,,,
40509,Act Too (Love of My Life) (Remix),The Roots,https://genius.com/The-roots-act-too-love-of-my-life-remix-lyrics,Grand Wizzards,,
40413,Act Too.. The Love of My Life,The Roots,https://genius.com/The-roots-act-too-the-love-of-my-life-lyrics,"Questlove,James Poyser","Dice Raw,Black Thought,Common",
279746,Act Won (Things Fall Apart),The Roots,https://genius.com/The-roots-act-won-things-fall-apart-lyrics,,,
612,Adrenaline,The Roots,https://genius.com/The-roots-adrenaline-lyrics,"Grand Wizzards,Scott Storch","Dice Raw,Malik B,Beanie Sigel",
1833610,Adrenaline (J.Period remix),The Roots,https://genius.com/The-roots-adrenaline-jperiod-remix-lyrics,,Busta Rhymes,
1363438,Adrenaline (live at Woodstock '99),The Roots,https://genius.com/The-roots-adrenaline-live-at-woodstock-99-lyrics,,,
971771,Ain't Gonna Let Nobody Turn Me Around,The Roots,https://genius.com/The-roots-aint-gonna-let-nobody-turn-me-around-lyrics,,,
3922,Ain't Sayin Nothin' New,The Roots,https://genius.com/The-roots-aint-sayin-nothin-new-lyrics,"The Roots,Scott Storch,Grand Wizzards","Black Thought,Dice Raw",
1575665,All I Know,The Roots,https://genius.com/The-roots-all-i-know-lyrics,,,
421815,...And then You Shoot Your Cousin Album Art,The Roots,https://genius.com/The-roots-and-then-you-shoot-your-cousin-album-art-lyrics,,,
